#metric_id,frequency_type,subject,measure,gdf_id,graph_id,discovery_ts
030001000200000000000000000000000000000000000000,1,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance,MGType:System Metrics>MGroup:Memory Stats>Metric:Total Memory (MB),10007,1,1617690290
030001000200000000000000000000000000000001000000,1,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance,MGType:System Metrics>MGroup:Memory Stats>Metric:Used Memory (MB),10007,2,1617690290
030001000200000000000000000000000000000002000000,1,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance,MGType:System Metrics>MGroup:Memory Stats>Metric:Free Memory (MB),10007,3,1617690290
030001000200000000000000000000000000000003000000,1,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance,MGType:System Metrics>MGroup:Memory Stats>Metric:Shared Memory (MB),10007,4,1617690290
030001000200000000000000000000000000000004000000,1,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance,MGType:System Metrics>MGroup:Memory Stats>Metric:Buffers Memory (MB),10007,5,1617690290
030001000200000000000000000000000000000005000000,1,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance,MGType:System Metrics>MGroup:Memory Stats>Metric:Cached Memory (MB),10007,6,1617690290
030001000200000000000000000000000100010000000000,1,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance,MGType:Network Metrics>MGroup:ICMP Stats>Metric:ICMP Messages Received/Sec,10633,1,1617690290
030001000200000000000000000000000100010001000000,1,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance,MGType:Network Metrics>MGroup:ICMP Stats>Metric:ICMP Input Message Failed/Sec,10633,2,1617690290
030001000200000000000000000000000100010002000000,1,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance,MGType:Network Metrics>MGroup:ICMP Stats>Metric:ICMP Input Csum Errors/Sec,10633,3,1617690290
030001000200000000000000000000000100010003000000,1,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance,MGType:Network Metrics>MGroup:ICMP Stats>Metric:ICMP Input Destination Unreachable/Sec,10633,4,1617690290
030001000200000000000000000000000100010004000000,1,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance,MGType:Network Metrics>MGroup:ICMP Stats>Metric:ICMP Timeout In Transit/Sec,10633,5,1617690290
030001000200000000000000000000000100010005000000,1,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance,MGType:Network Metrics>MGroup:ICMP Stats>Metric:ICMP Input Wrong Parameters/Sec,10633,6,1617690290
030001000200000000000000000000000100010006000000,1,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance,MGType:Network Metrics>MGroup:ICMP Stats>Metric:ICMP Input Source Quenches/Sec,10633,7,1617690290
030001000200000000000000000000000100010007000000,1,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance,MGType:Network Metrics>MGroup:ICMP Stats>Metric:ICMP Input Redirects/Sec,10633,8,1617690290
030001000200000000000000000000000100010008000000,1,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance,MGType:Network Metrics>MGroup:ICMP Stats>Metric:ICMP Input Echo Requests/Sec,10633,9,1617690290
030001000200000000000000000000000100010009000000,1,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance,MGType:Network Metrics>MGroup:ICMP Stats>Metric:ICMP Input Echo Replies/Sec,10633,10,1617690290
03000100020000000000000000000000010001000A000000,1,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance,MGType:Network Metrics>MGroup:ICMP Stats>Metric:ICMP Input Timestamp Request/Sec,10633,11,1617690290
03000100020000000000000000000000010001000B000000,1,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance,MGType:Network Metrics>MGroup:ICMP Stats>Metric:ICMP Input Timestamp Reply/Sec,10633,12,1617690290
03000100020000000000000000000000010001000C000000,1,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance,MGType:Network Metrics>MGroup:ICMP Stats>Metric:ICMP Input Address Mask Request/Sec,10633,13,1617690290
03000100020000000000000000000000010001000D000000,1,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance,MGType:Network Metrics>MGroup:ICMP Stats>Metric:ICMP Input Address Mask Replies/Sec,10633,14,1617690290
03000100020000000000000000000000010001000E000000,1,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance,MGType:Network Metrics>MGroup:ICMP Stats>Metric:ICMP Messages Sent/Sec,10633,15,1617690290
03000100020000000000000000000000010001000F000000,1,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance,MGType:Network Metrics>MGroup:ICMP Stats>Metric:ICMP Messages Failed/Sec,10633,16,1617690290
030001000200000000000000000000000100010010000000,1,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance,MGType:Network Metrics>MGroup:ICMP Stats>Metric:ICMP Output Destination Unreachable/Sec,10633,17,1617690290
030001000200000000000000000000000100010011000000,1,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance,MGType:Network Metrics>MGroup:ICMP Stats>Metric:ICMP Time Exceeded/Sec,10633,18,1617690290
030001000200000000000000000000000100010012000000,1,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance,MGType:Network Metrics>MGroup:ICMP Stats>Metric:ICMP Output Wrong Parameters/Sec,10633,19,1617690290
